Scenarios Input,Testcases
,Input: User receives a notification confirming the delivery of the order.
,"Expected Output: The delivery confirmation notification includes details such as delivery date, recipient's signature (if available), and any additional delivery notes."
,
Expense Creation:,
"Verify that users can successfully create a new expense with all required details (amount, description, date, participants).",Expense Creation:
,
,Test Case 1: Successful Expense Creation
,"Input: Valid amount, description, date, and participants."
,"Expected Output: Expense is created successfully, and balances are updated accordingly."
"Test if the application handles invalid input gracefully (e.g., negative amounts, missing participants).",Handling Invalid Input:
,
,Test Case 2: Negative Amount
,Input: Expense amount is negative.
,Expected Output: Application displays an error message indicating that the amount cannot be negative.
,Test Case 3: Missing Participants
,Input: Attempt to create an expense without selecting any participants.
,Expected Output: Application prompts the user to select participants and does not allow expense creation until participants are selected.
"Ensure that expenses can be categorized correctly (e.g., groceries, utilities, rent).",Expense Categorization:
,
,Test Case 4: Categorizing Expense as Groceries
,"Input: Create an expense with the category set to ""Groceries."""
,"Expected Output: Expense is categorized as groceries, and the category is displayed correctly in the expense details."
,Test Case 5: Categorizing Expense as Utilities
,"Input: Create an expense with the category set to ""Utilities."""
,"Expected Output: Expense is categorized as utilities, and the category is displayed correctly in the expense details."
,Test Case 6: Categorizing Expense as Rent
,"Input: Create an expense with the category set to ""Rent."""
,"Expected Output: Expense is categorized as rent, and the category is displayed correctly in the expense details."
Expense Editing:,
,
"Check if users can edit existing expenses (changing amount, description, participants).",Editing Existing Expenses:
,
,Test Case 1: Change Amount
,Input: User edits an existing expense and changes the amount.
,"Expected Output: The expense amount is updated, and balances are recalculated accordingly."
,Test Case 2: Change Description
,Input: User edits an existing expense and changes the description.
,"Expected Output: The expense description is updated, and other details remain unchanged."
,Test Case 3: Change Participants
,Input: User edits an existing expense and changes the participants involved.
,"Expected Output: The expense participants are updated, and balances are recalculated accordingly."
,
Verify that editing an expense recalculates debts and shares accurately.,Recalculation of Debts and Shares:
,
,Test Case 4: Equal Split Expense
,Input: Edit an existing expense with an equal split among participants.
,"Expected Output: After editing, verify that debts and shares are recalculated accurately with the updated expense details."
,Test Case 5: Unequal Split Expense
,Input: Edit an existing expense with an unequal split among participants.
,"Expected Output: After editing, verify that debts and shares are recalculated accurately considering the new split among participants."
,Test Case 6: Expense Reduction
,Input: Edit an existing expense and reduce the amount.
,"Expected Output: Ensure that debts and shares are recalculated accurately, reflecting the reduced expense amount among participants."
,Test Case 7: Expense Deletion
,Input: Edit an existing expense and delete it.
,"Expected Output: Ensure that the expense is removed from the system, and debts are recalculated accordingly, considering the removed expense."
,
Debt Calculation:,Equal Split Expenses:
,
"Create expenses with various amounts and participants, then verify that the application accurately calculates debts between users.",Test Case 1: Equal Split Among Two Participants
,Input: Create an expense with an equal split amount between two participants.
,"Expected Output: Verify that each participant owes half of the expense amount to the other, resulting in equal debts."
,Test Case 2: Equal Split Among Multiple Participants
,Input: Create an expense with an equal split amount among multiple participants.
,"Expected Output: Ensure that each participant owes an equal share of the expense amount to all other participants, resulting in equal debts among them."
,
"Test scenarios with unequal splits (e.g., one user pays more than others).",Unequal Split Expenses:
,
,Test Case 3: Unequal Split Among Two Participants
,"Input: Create an expense with an uneven split amount between two participants (e.g., one pays 60%, the other pays 40%)."
,"Expected Output: Verify that debts are calculated accurately according to the uneven split, reflecting the respective percentages paid by each participant."
,Test Case 4: Unequal Split Among Multiple Participants
,Input: Create an expense with an uneven split amount among multiple participants.
,"Expected Output: Ensure that debts are calculated accurately considering the specific percentages paid by each participant, resulting in varying debt amounts among them."
,Multiple Expenses:
,
,Test Case 5: Multiple Expenses with Varying Splits
,"Input: Create multiple expenses with different split configurations (equal, unequal)."
,Expected Output: Verify that the application accurately calculates the cumulative debts among participants considering all expenses.
,Expense Settlement:
,
,Test Case 6: Settlement of Debts
,Input: Settle debts between participants by marking them as paid.
,"Expected Output: Verify that the balances are updated correctly after settlement, ensuring that participants no longer owe each other settled amounts."
,
Settlements:,Marking Debts as Settled:
,
Test if users can mark debts as settled and verify that the balances are updated accordingly.,Test Case 1: Single Debt Settlement
Ensure that settlements are reflected in individual and group balances accurately.,Input: User marks a single debt between two participants as settled.
,"Expected Output: Verify that the debt is marked as settled, and the balances of both participants are updated accordingly."
,Test Case 2: Multiple Debt Settlements
,Input: User settles multiple debts involving different participants.
,"Expected Output: Ensure that all settled debts are accurately reflected, and individual balances are updated accordingly."
,Individual Balance Update:
,
,Test Case 3: Debt Settled in Favor of One Participant
,Input: One participant settles a debt owed to them by another participant.
,Expected Output: Verify that the balance of the participant who received the settlement is updated to reflect the payment received.
,Test Case 4: Debt Settled by Paying Partial Amount
,Input: Participant settles a debt by paying only a portion of the total amount owed.
,Expected Output: Ensure that the balance of both participants involved is updated to reflect the partial payment made and the remaining amount owed.
,Group Balance Update:
,
,Test Case 5: Settlement Impact on Group Balances
,Input: Settlement of debts among multiple participants impacts the overall group balances.
,"Expected Output: Verify that the group balances are updated accurately, considering all settled debts among participants."
,Verification of Settlements:
,
,Test Case 6: Verification of Settlement Records
,Input: User checks the settlement history to verify past settlements.
,"Expected Output: Ensure that all settled debts are recorded correctly in the settlement history, providing transparency to users regarding past transactions."
,
Location Tracking:,Valid Route Selection:
,
Test Scenario: Verify that the application accurately displays the real-time location of buses running on a specific route.,Test Case: Ensure the application correctly tracks buses on the selected route.
Steps:,Steps:
Select a route for tracking.,Select a known route with active bus services.
Confirm that the displayed location of the bus matches its actual position on the map.,Verify that the application displays buses running on the chosen route.
Check for any delays in updating the bus's location.,Bus Position Accuracy:
,
,Test Case: Confirm that the displayed location of the bus accurately reflects its real-time position.
,Steps:
,Select a route with a bus currently in operation.
,"Note the bus's actual location through other means (e.g., visual confirmation or official data)."
,Compare the bus's actual position with its displayed location on the application's map.
,Verify that the displayed location matches the actual position within an acceptable margin of error.
,Real-time Update Check:
,
,Test Case: Ensure the application updates the bus's location in real-time.
,Steps:
,Track a bus's location using the application.
,Continuously monitor the bus's movement in real-time.
,Observe the frequency of location updates provided by the application.
,Ensure that the application consistently updates the bus's location with minimal delay.
,Route Invariant Tracking:
,
,Test Case: Verify that the application accurately tracks buses regardless of the direction of travel along the route.
,Steps:
,Choose a route with buses traveling in both directions.
,Select a bus traveling in one direction and track its location.
,Repeat the process for a bus traveling in the opposite direction.
,Confirm that the application correctly displays the real-time locations of buses irrespective of their direction of travel.
,Inactive Route Handling:
,
,Test Case: Ensure the application handles tracking for routes with no active buses gracefully.
,Steps:
,Select a route with no active bus services at the moment.
,Verify that the application informs the user appropriately about the lack of available buses.
,Confirm that the map remains clear of any bus markers for the inactive route.
,Network Interruption Recovery:
,
,Test Case: Verify that the application recovers gracefully after a network interruption.
,Steps:
,Track a bus's location while maintaining a stable internet connection.
,"Simulate a temporary network interruption (e.g., enable airplane mode)."
,Restore the internet connection.
,Verify that the application resumes tracking the bus's location without any data loss or disruption.
,
Next Bus Availability:,Valid Location and Route:
,
Test Scenario: Ensure the application provides accurate information about the next bus available at the user's location.,Test Case: Confirm that the application accurately predicts the next bus arrival at a specific location for a known route.
Steps:,Steps:
Set the current location to a specific point on the map.,Set the current location to a known bus stop on an active route.
Verify that the application correctly displays the estimated arrival time of the next bus at that location.,Verify that the application displays the estimated arrival time of the next bus at that location.
Check if the estimated time matches the actual arrival time of the next bus.,Compare the estimated arrival time with the scheduled timetable for the selected route.
,Multiple Bus Stops on Route:
,
,Test Case: Ensure the application handles multiple bus stops along a route and provides accurate arrival times for each.
,Steps:
,Set the current location to a point between two bus stops on a route.
,Verify that the application displays the estimated arrival times for buses at both nearby stops.
,Confirm that the estimated arrival times align with the buses' expected schedules.
,Dynamic Bus Schedules:
,
,Test Case: Validate that the application adjusts the estimated arrival time based on real-time bus positions and traffic conditions.
,Steps:
,Set the current location to a point on a route known for traffic congestion during certain times of the day.
,Verify that the application factors in current traffic conditions and adjusts the estimated arrival time accordingly.
,Compare the adjusted arrival time with the expected delay due to traffic.
,Bus Arrival Notification:
,
,Test Case: Ensure the application notifies the user when a bus is approaching the selected location.
,Steps:
,Set the current location to a bus stop.
,Verify that the application provides a notification when a bus is within a specified distance from the stop.
,Confirm that the notification includes the estimated arrival time of the approaching bus.
,Invalid Location Handling:
,
,Test Case: Verify that the application handles invalid or unsupported locations gracefully.
,Steps:
,Set the current location to a point outside the coverage area of the application.
,Verify that the application informs the user that bus information is unavailable for the selected location.
,Confirm that the application provides guidance on how to select a valid location within its coverage area.
,Offline Mode:
,
,Test Case: Ensure the application retains previously fetched bus arrival information when switching to offline mode.
,Steps:
,Set the current location to a known bus stop with available bus services.
,Fetch the estimated arrival time of the next bus while online.
,Disable the internet connection (simulate offline mode).
,Verify that the application continues to display the previously fetched arrival time without attempting to refresh data.
,
Route Display:,Valid Route Number:
,
Test Scenario: Confirm that the application correctly displays the route of a bus based on its route number.,Test Case: Ensure the application correctly displays the route of a bus when a valid route number is entered.
Steps:,Steps:
Enter the route number of a bus.,Enter a known and valid route number into the application.
Verify that the application shows the entire route of the bus on the map.,Verify that the application successfully retrieves and displays the entire route of the bus on the map.
Check if the displayed route matches the official route of the selected bus.,Confirm that the displayed route covers all the designated bus stops along the specified route.
,Multiple Routes:
,
,Test Case: Validate that the application can display routes for multiple buses when different route numbers are entered.
,Steps:
,Enter the route numbers of multiple buses into the application.
,Verify that the application accurately displays the routes of all the specified buses on the map.
,Confirm that each displayed route corresponds to the respective bus's official route.
,Invalid Route Number Handling:
,
,Test Case: Ensure the application handles invalid or non-existent route numbers gracefully.
,Steps:
,Enter an invalid or non-existent route number into the application.
,Verify that the application provides a clear error message indicating that the entered route number is invalid.
,Confirm that the application prompts the user to enter a valid route number or provides alternative options.
,Partial Route Display:
,
,Test Case: Validate that the application displays only the relevant portion of the route when a specific bus stop is selected.
,Steps:
,Select a specific bus stop along a route.
,Verify that the application displays the portion of the route from the starting point to the selected bus stop.
,Confirm that the displayed route accurately represents the segment of the bus's route leading to the selected stop.
,Route Alignment with Official Data:
,
,Test Case: Verify that the displayed route matches the official route of the selected bus.
,Steps:
,Cross-reference the route displayed by the application with official route maps or documentation provided by the transportation authority.
,Confirm that the displayed route on the application aligns precisely with the official route information.
,Ensure that there are no discrepancies or deviations between the application's route display and the official route data.
,Dynamic Route Updates:
,
,Test Case: Ensure the application updates the displayed route in real-time to reflect any changes or detours.
,Steps:
,Monitor a bus's route in the application while it is in operation.
,Verify that the application dynamically adjusts the displayed route to accommodate any deviations or detours due to road closures or construction.
,Confirm that the updated route accurately reflects the temporary changes and continues to guide users effectively.
,
Bus Stoppings:,Valid Route Selection:
,
Test Scenario: Validate that the application lists all the bus stoppings along a particular route.,Test Case: Ensure the application correctly lists bus stoppings for a selected route.
Steps:,Steps:
Select a route to view its details.,Select a known and active route from the available options.
Check if the application displays a list of all the bus stoppings in sequential order.,"Verify that the application displays the details of the selected route, including the list of bus stoppings."
Ensure that the listed bus stoppings are accurate and correspond to the actual stops on the route.,Confirm that the list of bus stoppings corresponds to the official stops on the selected route.
,Sequential Order of Bus Stoppings:
,
,Test Case: Validate that the application lists bus stoppings in sequential order along the selected route.
,Steps:
,Select a route and view its details.
,Check the order in which the bus stoppings are listed by the application.
,Verify that the bus stoppings are listed in the correct sequence as per the route's direction of travel.
,Complete Bus Stoppings List:
,
,Test Case: Ensure the application displays a comprehensive list of all bus stoppings along the selected route.
,Steps:
,Select a route and view its details.
,Compare the list of bus stoppings provided by the application with official route maps or documentation.
,Confirm that the application includes all designated bus stoppings along the entire route without omission.
,Accuracy of Bus Stoppings:
,
,Test Case: Verify that the listed bus stoppings accurately correspond to the actual stops on the route.
,Steps:
,Select a route and view its details.
,Cross-reference the listed bus stoppings with known stops along the route or official route documentation.
,Confirm that the application accurately identifies and lists each bus stopping without errors or discrepancies.
,Dynamic Update of Bus Stoppings:
,
,Test Case: Ensure the application updates the list of bus stoppings in real-time to reflect any changes or additions.
,Steps:
,Monitor a route's details in the application while it is in operation.
,Verify that the application dynamically updates the list of bus stoppings to reflect any newly added stops or changes in existing stops.
,Confirm that the updated list remains accurate and synchronized with the latest route information.
,Handling of Inactive Routes:
,
,Test Case: Validate that the application handles routes with no active bus services gracefully.
,Steps:
,Select a route that is temporarily inactive or out of service.
,Verify that the application informs the user appropriately about the unavailability of bus stoppings for the selected route.
,Confirm that the application guides the user to explore other available routes or services.
,
City Selection:,Valid City Selection:
,
Test Scenario: Ensure the application allows users to choose/change the city for which they want to track the buses.,Test Case: Ensure the application allows users to successfully switch to a different city.
Steps:,Steps:
Access the settings or preferences section of the application.,Access the settings or preferences section of the application.
Select the option to change the city.,Select the option to change the city.
Verify that the user can successfully switch to a different city and view bus information specific to that city.,Choose a different city from the available options.
,Verify that the application updates the displayed bus information to reflect services specific to the newly selected city.
,City-specific Bus Information:
,
,Test Case: Validate that bus information displayed after changing the city is specific to the selected city.
,Steps:
,Access the settings or preferences section of the application.
,Select the option to change the city.
,Choose a different city from the available options.
,"Verify that the application displays bus routes, schedules, and other relevant information relevant to the newly selected city."
,Confirm that the displayed information does not include data from the previously selected city.
,Default City Selection:
,
,Test Case: Ensure the application handles the scenario when a user does not explicitly select a city.
,Steps:
,Open the application without explicitly selecting a city.
,Verify that the application defaults to a predefined city or presents the user with options to select a city.
,Confirm that the displayed bus information corresponds to the default or selected city.
,Error Handling for Invalid City Selection:
,
,Test Case: Validate that the application handles invalid or unsupported city selections gracefully.
,Steps:
,Access the settings or preferences section of the application.
,Select the option to change the city.
,Attempt to choose a city that is not supported by the application or does not exist.
,Verify that the application provides a clear error message indicating that the selected city is invalid.
,Confirm that the application prompts the user to select a valid city or provides alternative options.
,Persistence of City Selection:
,
,Test Case: Ensure that the application retains the user's selected city across sessions.
,Steps:
,Change the city in the application settings to a different city.
,Close the application and reopen it.
,Verify that the application maintains the previously selected city as the default.
,Confirm that the displayed bus information continues to correspond to the user's selected city upon reopening the application.
,Performance Testing for City Switching:
,
,Test Case: Validate the application's performance when switching between different cities.
,Steps:
,Access the settings or preferences section of the application.
,Rapidly switch between different cities multiple times.
,Monitor the application's response time and stability during the city switching process.
,Verify that the application remains responsive and does not experience significant lag or crashes when changing cities repeatedly.
